School,kaggle_id,SRS,AdjNRtg
Wofford,1459,-5.02,-7.39
Howard,1224,-5.04,-7.14
Mercer,1273,-5.11,-7.36
Portland State,1340,-5.17,-6.95
Campbell,1144,-5.23,-7.69
Louisville,1257,-5.39,-8.35
Purdue Fort Wayne,1236,-5.46,-8.35
Delaware,1174,-5.57,-7.53
Robert Morris,1352,-5.83,-8.51
East Tennessee State,1190,-6,-8.75
Jacksonville,1239,-6.19,-9.31
Maryland-Baltimore County,1420,-6.22,-9.01
Western Carolina,1441,-6.34,-8.88
SIU Edwardsville,1188,-6.45,-8.85
Texas-Rio Grande Valley,1410,-6.48,-8.75
Northern Illinois,1296,-6.55,-8.97
Idaho State,1226,-6.56,-9.4
Winthrop,1457,-6.63,-9.6
Jacksonville State,1240,-6.67,-9.92
North Florida,1316,-6.75,-9.56
Niagara,1310,-6.78,-10.17
Georgia State,1209,-6.79,-9.78
UC San Diego,1471,-6.94,-10.69
Fairfield,1193,-6.98,-10.42
Canisius,1145,-7.05,-9.8
Morehead State,1287,-7.1,-9.63
Army,1119,-7.13,-9.86
Illinois State,1229,-7.38,-10.5
Southeast Missouri State,1369,-7.4,-10.16
Bellarmine,1468,-7.42,-11.54
South Carolina Upstate,1367,-7.44,-11.1
Miami (OH),1275,-7.46,-10.34
Cal Poly,1142,-7.51,-11.8
Western Illinois,1442,-7.59,-11.34
North Dakota,1315,-7.6,-11.13
Maryland-Eastern Shore,1271,-7.63,-10.94
UTSA,1427,-7.74,-10.42
Lafayette,1248,-7.83,-11.67
Dartmouth,1171,-7.98,-11.1
Southeastern Louisiana,1368,-8,-10.72
Oakland,1324,-8.06,-11.29
Arkansas State,1117,-8.07,-11.98
Boston University,1131,-8.1,-11.71
Mount St. Mary's,1291,-8.18,-11.9
American,1110,-8.26,-11.95
Cal State Bakersfield,1167,-8.34,-12.63
Marist,1265,-8.44,-12.26
Bowling Green State,1132,-8.46,-11.7
Tulsa,1409,-8.48,-12.67
Nicholls State,1311,-8.54,-11.22
Southern,1380,-8.57,-11.83
Louisiana-Monroe,1419,-8.64,-12.44
North Alabama,1466,-8.65,-11.83
Tennessee-Martin,1404,-8.67,-12.19
Idaho,1225,-8.7,-13.24
Valparaiso,1434,-8.72,-12.34
Alcorn State,1108,-8.74,-12.08
Illinois-Chicago,1227,-8.83,-12.71
Southern Indiana,1475,-8.87,-12.59
Maine,1263,-8.88,-13.06
Prairie View,1341,-8.92,-12.19
Coastal Carolina,1157,-8.93,-12.75
FDU,1192,-8.98,-12.64
Tennessee State,1398,-9.01,-12.98
New Hampshire,1306,-9.05,-12.99
Lehigh,1250,-9.08,-13.14
Tennessee Tech,1399,-9.4,-13.15
Charleston Southern,1149,-9.44,-14.05
Denver,1176,-9.56,-13.86
Kansas City,1282,-9.78,-14.33
Manhattan,1264,-9.87,-14.03
South Dakota,1377,-9.87,-14.42
High Point,1219,-9.88,-13.82
Saint Peter's,1389,-9.9,-15.08
Bucknell,1137,-9.93,-14.28
Northeastern,1318,-10.33,-14.94
Cal State Northridge,1169,-10.4,-15.68
Binghamton,1127,-10.44,-15.35
Western Michigan,1444,-10.55,-15.71
Texas Southern,1411,-10.56,-14.62
Alabama A&M,1105,-10.78,-14.81
Omaha,1303,-10.8,-15.69
William & Mary,1456,-10.99,-16.07
Eastern Michigan,1185,-11.05,-15.21
Texas A&M-Commerce,1477,-11.09,-15.54
Merrimack,1467,-11.18,-15.96
Chicago State,1152,-11.29,-16.2
Jackson State,1238,-11.36,-15.69
North Carolina A&T,1299,-11.4,-16.16
Morgan State,1288,-11.58,-15.66
Wagner,1447,-11.81,-16.44
Central Michigan,1141,-11.97,-17.36
Loyola (MD),1259,-12.05,-18.1
The Citadel,1154,-12.13,-17.41
Austin Peay,1122,-12.17,-17.59
Stony Brook,1392,-12.45,-18.34
NJIT,1312,-12.57,-18.61
Little Rock,1114,-12.62,-17.51
Sacred Heart,1357,-12.78,-17.92
Elon,1189,-12.85,-18.51
Stonehill,1476,-12.86,-18.33
Arkansas-Pine Bluff,1115,-12.99,-18.47
Saint Francis (PA),1384,-13.41,-19.64
Presbyterian,1342,-13.55,-20.5
McNeese State,1270,-13.63,-19.44
Central Connecticut State,1148,-13.68,-19.79
Central Arkansas,1146,-13.72,-18.73
Eastern Illinois,1183,-14.09,-20.13
New Orleans,1309,-14.23,-19.55
Holy Cross,1221,-14.27,-20.41
Albany (NY),1107,-14.36,-21.09
Columbia,1162,-14.37,-19.76
Coppin State,1164,-14.76,-20.06
Lindenwood,1473,-14.8,-20.79
Incarnate Word,1230,-15.06,-21.1
Evansville,1191,-15.14,-21.23
Hampton,1214,-15.25,-21.32
Monmouth,1284,-15.64,-23.08
VMI,1440,-16.14,-23.65
Alabama State,1106,-16.33,-22.66
St. Francis (NY),1383,-16.49,-24
South Carolina State,1354,-16.73,-22.09
Bethune-Cookman,1126,-17.15,-23.61
Houston Christian,1223,-17.18,-23.34
Lamar,1249,-17.4,-24.42
Delaware State,1175,-17.7,-24.75
Florida A&M,1197,-17.81,-25.94
Mississippi Valley State,1290,-18.28,-26
IUPUI,1237,-19,-27.46
Green Bay,1453,-20.3,-30.15
Hartford,1216,-23.12,-33.98
Long Island University,1254,-24.46,-33.06
