Rk,School,TG,SRS,FGA,TOV,OTRB,TRB%
91,Florida State,33,9.42,1995,392,1214,47.5
92,Fordham,33,-0.29,1993,426,1189,50.7
93,Fresno State,33,-2.84,1794,415,1154,47.5
94,Furman,33,0.37,2054,391,1183,51.3
95,Gardner-Webb,33,-4.42,1992,385,1201,51.2
96,George Mason,32,6.61,1720,378,1009,53.3
97,George Washington,32,-0.82,1901,397,1203,49.5
98,Georgetown,32,0.58,1867,390,1087,50.1
99,Georgia,33,8.54,1939,375,1247,48.5
100,Georgia Southern,33,-8.15,1971,436,1258,47.3
101,Georgia State,31,-4.26,1967,301,1193,49.3
102,Georgia Tech,32,4.55,1924,393,1133,51.8
103,Gonzaga,32,17.3,1985,313,1011,55.2
104,Grambling,34,-10.17,1834,456,1128,49.2
105,Grand Canyon,33,10.02,1903,405,1091,53.6
106,Green Bay,32,-5.36,1742,384,1045,50.4
107,Hampton,33,-15.64,2011,411,1233,49.8
108,Harvard,27,-4.36,1516,328,996,48.6
109,Hawaii,34,0.29,1841,423,1086,51.5
110,High Point,33,2.23,1973,371,1022,56.4
111,Hofstra,33,2.44,1918,344,1164,48.2
112,Holy Cross,33,-16.93,1857,364,1170,48
113,Houston,34,26.35,2065,302,1150,52.7
114,Houston Christian,29,-18.89,1751,445,1109,49.2
115,Howard,34,-8.44,1875,533,1097,52.7
116,Idaho,32,-10.88,1778,367,1085,48.2
117,Idaho State,34,-7.04,1902,372,1029,51.5
118,Illinois,34,19.87,2114,366,1117,55.7
119,Illinois State,32,-1.23,1752,360,1064,51.1
120,Illinois-Chicago,33,-1.45,1927,408,1216,47.7
121,Incarnate Word,31,-16.02,1795,495,1100,50.7
122,Indiana,33,8.03,1848,400,1156,50
123,Indiana State,34,12.76,1963,402,1082,52.9
124,Iona,33,-4.94,1984,336,1189,46.9
125,Iowa,32,13.24,2026,305,1181,49
126,Iowa State,34,23.01,1992,363,1125,50.7
127,IUPUI,32,-21.1,1768,468,1064,47
128,Jackson State,32,-11.49,1923,428,1129,50.7
129,Jacksonville,33,-9.53,1918,431,1059,53.3
130,Jacksonville State,32,-3.3,1778,433,983,54.5
131,James Madison,34,8.67,2148,366,1148,53.5
132,Kansas,32,17.62,1839,371,1074,51.7
133,Kansas City,32,-4.98,1903,385,1034,52.9
134,Kansas State,33,11.81,1850,490,1141,52
135,Kennesaw State,31,-7.71,2035,374,1201,50.1
136,Kent State,34,-0.52,2016,403,1132,51
137,Kentucky,32,17.61,2071,341,1175,50.6
138,La Salle,33,-1.43,2041,316,1235,48
139,Lafayette,32,-10.95,1823,372,1184,47.3
140,Lamar,33,-5.04,2025,426,1161,52
141,Le Moyne,32,-10.94,1906,367,1225,47.2
142,Lehigh,32,-7.28,1887,386,1150,49.7
143,Liberty,32,1.78,1848,334,1042,51.1
144,Lindenwood,31,-18.43,1726,373,1119,46.8
145,Lipscomb,32,-1.62,1946,321,1115,48.8
146,Little Rock,33,-2.96,1964,401,1134,51.6
147,Long Beach State,35,-0.99,2167,442,1242,52.1
148,Long Island University,29,-17.72,1691,422,1097,48
149,Longwood,34,-1.48,2012,426,1012,56.7
150,Louisiana,33,-0.32,2025,388,1170,49.2
151,Louisiana State,32,8.64,1847,422,1123,50.5
152,Louisiana Tech,32,5.05,1802,398,1051,54.2
153,Louisiana-Monroe,30,-9.73,1788,374,1047,52
154,Louisville,32,0.37,1833,410,1109,49.8
155,Loyola (IL),32,7.06,1838,411,1075,52.2
156,Loyola (MD),32,-15.96,1767,436,1049,51.1
157,Loyola Marymount,31,0.07,1791,333,1009,51.7
158,Maine,32,-6.19,1831,365,1133,48
159,Manhattan,30,-15.07,1792,402,1139,46.5
160,Marist,31,-5.39,1638,378,1029,49.2
161,Marquette,34,19.57,2072,338,1210,48
162,Marshall,33,-5.12,2117,393,1290,50.3
163,Maryland,33,10.86,1854,387,1147,50.7
164,Maryland-Baltimore County,32,-8.5,2049,418,1260,48.3
165,Maryland-Eastern Shore,29,-17.26,1664,399,1079,48.4
166,Massachusetts,31,7.8,1904,345,1053,53
167,Massachusetts-Lowell,32,-1.12,1924,425,1064,55.1
168,McNeese State,33,7.15,1928,323,1075,52.6
169,Memphis,32,9.23,1952,419,1169,50.3
170,Mercer,33,-4.51,1961,367,1155,49.5
171,Merrimack,33,-5.13,1814,436,1252,45.2
172,Miami (FL),32,9.53,1960,386,1144,50.6
173,Miami (OH),32,-6.21,1802,375,1168,47.6
174,Michigan,32,5.58,1869,414,1117,50.4
175,Michigan State,33,17.89,1945,323,1115,50.6
176,Middle Tennessee,33,-7.23,1843,462,1194,49
177,Milwaukee,35,-4.78,2198,439,1258,52
178,Minnesota,32,9.9,1810,383,1053,51.5
179,Mississippi,32,8.57,1876,344,1186,47.5
180,Mississippi State,34,14.93,1973,440,1105,54.1
181,Mississippi Valley State,31,-26.16,1611,495,1111,45.1
182,Missouri,32,3.5,1838,370,1188,45.5
183,Missouri State,33,1.12,1931,397,1131,53.3
184,Monmouth,33,-3,1998,345,1219,48.9
185,Montana,34,-0.48,1961,340,1096,51.3
186,Montana State,34,-4.58,1954,396,1192,46.6
187,Morehead State,34,0.69,1956,407,1036,56.4
188,Morgan State,31,-15.89,1862,451,1159,48.7
189,Mount St. Mary's,32,-6.31,1852,465,1037,52
190,Murray State,32,0.56,1841,304,1063,49.6
191,Navy,31,-11.47,1809,317,1116,49.7
192,NC State,36,11.56,2193,344,1300,49.2
193,Nebraska,33,15.12,1958,367,1228,50.5
194,Nevada,33,13.36,1802,330,1080,51.3
195,Nevada-Las Vegas,31,8.91,1784,346,1056,50.2
196,New Hampshire,31,-6.04,1934,372,1205,49
197,New Mexico,35,16.01,2279,348,1235,52.9
198,New Mexico State,32,-8.33,1822,382,1128,48.9
199,New Orleans,33,-16.34,2023,407,1314,46.4
200,Niagara,32,-8.15,1749,378,1008,49.2
201,Nicholls State,34,-6.65,1909,450,1252,48.9
202,NJIT,28,-14.5,1681,311,1059,47.9
203,Norfolk State,33,-6.28,1861,405,1094,50.8
204,North Alabama,32,-6.78,1931,324,1135,49.9
205,North Carolina,34,20.98,2125,351,1146,55
206,North Carolina A&T,32,-16.16,1873,300,1306,43.9
207,North Carolina Central,31,-7.72,1812,372,1096,50
208,North Dakota,32,-5.92,1934,324,1077,52.1
209,North Dakota State,32,-7.25,1834,355,1026,51.7
210,North Florida,32,-6.64,1917,362,1144,48.5
211,North Texas,32,8.8,1785,358,1041,51.6
212,Northeastern,32,-5.93,1780,398,981,52
213,Northern Arizona,33,-11.86,1883,416,1207,46.1
214,Northern Colorado,32,-4,1939,356,1094,50.4
215,Northern Illinois,31,-8.97,1802,394,1141,49.3
216,Northern Iowa,33,3.96,1849,340,1092,50.6
217,Northern Kentucky,33,-3.4,1935,407,1187,49
218,Northwestern,32,12.74,1832,280,1066,48.3
219,Northwestern State,32,-13.97,1872,425,1212,47.7
220,Notre Dame,33,4.93,1824,413,1129,51.2
221,Oakland,34,1.6,2035,382,1163,51.2
222,Ohio,33,0.73,1987,321,1198,49
223,Ohio State,33,14.1,1922,349,1127,51.7
224,Oklahoma,32,15.15,1797,399,1009,52.7
225,Oklahoma State,32,6.79,1799,413,1087,49.8
226,Old Dominion,32,-8.03,2001,349,1295,46.7
227,Omaha,33,-6.99,1873,326,1115,49.9
228,Oral Roberts,31,-7.09,1846,300,1188,46.2
229,Oregon,34,12.25,2021,347,1147,50.3
230,Oregon State,32,3.54,1745,395,1092,48.8
231,Pacific,32,-17.21,1762,377,1213,41.9
232,Penn State,33,9.44,1951,366,1218,46.6
233,Pennsylvania,29,-3.07,1721,323,975,51.7
234,Pepperdine,33,-1.94,1924,370,1080,50.8
235,Pittsburgh,33,14.79,1999,297,1100,52.6
236,Portland,33,-8.02,1891,394,1193,48.2
237,Portland State,32,-6.7,1949,361,1182,50
238,Prairie View,31,-15.4,1831,396,1155,45.2
239,Presbyterian,32,-8.03,1831,367,1074,49.8
240,Princeton,28,6.93,1627,229,892,51.4
241,Providence,34,12.7,1959,412,1195,50.6
242,Purdue,33,24.77,1927,379,978,57.7
243,Purdue Fort Wayne,33,-0.19,2041,339,1226,46.5
244,Queens (NC),33,-8.49,2095,377,1242,49.6
245,Quinnipiac,33,-2.78,2025,407,1104,52.4
246,Radford,33,-5.49,1907,357,1158,49.7
247,Rhode Island,32,-2.07,1800,403,1100,51.7
248,Rice,32,-2.94,1880,372,1138,49.9
249,Richmond,32,8.24,1828,277,1187,47
250,Rider,32,-5.45,1921,398,1112,51.9
251,Robert Morris,32,-9.33,1927,443,1068,52
252,Rutgers,32,7.67,1927,365,1267,48.4
253,Sacramento State,34,-10.38,1855,495,991,55
254,Sacred Heart,32,-9.82,1898,373,1187,47.6
255,Saint Francis (PA),30,-18.48,1682,412,1024,50.3
256,Saint Joseph's,34,6.76,2015,385,1187,50.6
257,Saint Louis,33,-1.39,1873,388,1155,48.9
258,Saint Mary's (CA),33,16.95,1940,334,908,59
259,Saint Peter's,32,-4.13,1775,408,1059,51.8
260,Sam Houston,33,-0.14,1948,435,1133,52.6
261,Samford,34,6.25,2079,448,1211,50.1
262,San Diego,33,-5.09,1978,437,1237,47.7
263,San Diego State,34,15.3,1999,376,1137,53.2
264,San Francisco,33,9.69,1978,379,990,53.1
265,San Jose State,32,-3.37,1856,336,1147,46.2
266,Santa Clara,33,5.61,1984,422,1065,54.9
267,Seattle,33,3.35,1915,421,1090,52.6
268,Seton Hall,32,11.35,1869,408,1035,53.5
269,Siena,32,-18.93,1758,505,1100,50.7
270,South Alabama,32,-5.64,1886,362,1238,46.1
271,South Carolina,33,11.55,1914,333,1079,52.3
